variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description,Transformation,Column1,Column2,
ADL_01,intermediate,Help preparing meals,Needs help - preparing meals,Health status,ADL,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs_2014_i","cchs2001_p::RACA_6A, cchs2003_p::RACC_6A, cchs2005_p::RACE_6A, cchs2007_2008_p::RAC_6A, cchs2015_2016_p::ADL_005, cchs2017_2018_p::ADL_005, [ADL_01]",,,,,
ADL_02,intermediate,Help appointments/errands,Needs help - getting to appointments/errands,Health status,ADL,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs_2014_i","cchs2001_p::RACA_6B, cchs2003_p::RACC_6B1, cchs2005_p::RACE_6B1, cchs2007_2008_p::RAC_6B1, cchs2015_2016_p::ADL_010, cchs2017_2018_p::ADL_010, [ADL_02]",,,,,
ADL_03,intermediate,Help housework,Needs help - doing housework,Health status,ADL,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs_2014_i","cchs2001_p::RACA_6C, cchs2003_p::RACC_6C, cchs2005_p::RACE_6C, cchs2007_2008_p::RAC_6C, cchs2015_2016_p::ADL_015, cchs2017_2018_p::ADL_015, [ADL_03]",,,,,
ADL_04,intermediate,Help personal care,Needs help - personal care,Health status,ADL,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs_2014_i","cchs2001_p::RACA_6E, cchs2003_p::RACC_6E, cchs2005_p::RACE_6E, cchs2007_2008_p::RAC_6E, cchs2015_2016_p::ADL_020, cchs2017_2018_p::ADL_020[ADL_04]",,,,,
ADL_05,intermediate,Help move inside house,Needs help - moving about inside house,Health status,ADL,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs_2014_i","cchs2001_p::RACA_6F, cchs2003_p::RACC_6F, cchs2005_p::RACE_6F, cchs2007_2008_p::RAC_6F, cchs2015_2016_p::ADL_025, cchs2017_2018_p::ADL_025, [ADL_05]",,,,,
ADL_der,imputation-variable,Derived help tasks,Derived needs help with tasks,Health status,ADL,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs_2014_i","DerivedVar::[ADL_01, ADL_02, ADL_03, ADL_04, ADL_05]",,,,,
ADL_score_5,imputation-variable,ADL score ,"Derived using the ADL variables common to all cycles from 2001 to 2014 (ADL_01,  ADL_02,  ADL_03,  ADL_04, ADL_05) to represent the number of tasks that an individual needs help with.",Health status,ADL,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs_2014_i","DerivedVar::[ADL_01, ADL_02, ADL_03, ADL_04, ADL_05]",,,,,
DHHGAGE,"predictor, imputation-variable",Age,Age (10-year age groups),Demographics,Age,Categorical,Years,"cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[DHH_AGE],"8 age groups: 18 to 19, 20 to 29, 30 to 39, 40 to 49, 50 to 59, 60 to 69, 70 to 79, 80+ years",,,,
DHHGAGE_cont,"predictor, table-1-a, imputation variable",Age,Continous age,Demographics,Age,Continuous,Years,"cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i", [DHH_AGE],Continuous age variable,,,,
age_X_arthritis,"interaction-term, predictor, imputation-variable",Age and arthritis interaction,Age and arthritis interaction,N/A,N/A,Categorical,N/A,"cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","DerivedVar::[DHH_AGE, CCC_051]",,,,,
